"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","760","Verify the image for one pet is registered when a request is made through POST add new image to pet endpoint","","Mon Feb 17 18:15:51 AEDT 2025","passed","Mon Feb 17 18:15:52 AEDT 2025","","","",""
"","906","Verify the data for all pets is received when a request is made through Get pets by status endpoint","","Mon Feb 17 18:15:48 AEDT 2025","passed","Mon Feb 17 18:15:49 AEDT 2025","","","",""
"","763","Verify the image for one pet is registered when a request is made through POST add new image to pet endpoint","","Mon Feb 17 18:15:53 AEDT 2025","passed","Mon Feb 17 18:15:54 AEDT 2025","","","",""
"","756","Verify the data for one pet is received when a request is made through Get pet by ID endpoint","","Mon Feb 17 18:15:49 AEDT 2025","passed","Mon Feb 17 18:15:50 AEDT 2025","","","",""
"","763","Verify the image for one pet is registered when a request is made through POST add new image to pet endpoint","","Mon Feb 17 18:15:51 AEDT 2025","passed","Mon Feb 17 18:15:51 AEDT 2025","","","",""
"","1089","Verify the data for one pet is registered when a request is made through POST add new pet endpoint","","Mon Feb 17 21:44:32 AEDT 2025","passed","Mon Feb 17 21:44:33 AEDT 2025","","","",""
"","782","Verify the valid error message is pet is not found for the requested ID","","Mon Feb 17 18:15:50 AEDT 2025","passed","Mon Feb 17 18:15:51 AEDT 2025","","","",""
"","998","Verify the image for one pet is registered when a request is made through POST add new image to pet endpoint","","Mon Feb 17 18:15:52 AEDT 2025","passed","Mon Feb 17 18:15:53 AEDT 2025","","","",""
