"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1218","Verify the data for all pets is received when a request is made through Get pets by status endpoint","","Mon Feb 17 23:30:20 AEDT 2025","passed","Mon Feb 17 23:30:21 AEDT 2025","","","",""
"","998","Verify the image for one pet is registered when a request is made through POST add new image to pet endpoint","","Mon Feb 17 23:30:24 AEDT 2025","passed","Mon Feb 17 23:30:25 AEDT 2025","","","",""
"","1017","Verify the valid error message is pet is not found for the requested ID","","Mon Feb 17 23:30:22 AEDT 2025","passed","Mon Feb 17 23:30:23 AEDT 2025","","","",""
"","899","Verify the data for one pet is received when a request is made through Get pet by ID endpoint","","Mon Feb 17 23:30:21 AEDT 2025","passed","Mon Feb 17 23:30:22 AEDT 2025","","","",""
"","756","Verify the image for one pet is registered when a request is made through POST add new image to pet endpoint","","Mon Feb 17 23:30:25 AEDT 2025","passed","Mon Feb 17 23:30:26 AEDT 2025","","","",""
"","761","Verify the data for one pet is registered when a request is made through POST add new pet endpoint","","Mon Feb 17 23:30:26 AEDT 2025","passed","Mon Feb 17 23:30:27 AEDT 2025","","","",""
"","879","Verify the image for one pet is registered when a request is made through POST add new image to pet endpoint","","Mon Feb 17 23:30:23 AEDT 2025","passed","Mon Feb 17 23:30:24 AEDT 2025","","","",""
"","764","Verify the image for one pet is registered when a request is made through POST add new image to pet endpoint","","Mon Feb 17 23:30:24 AEDT 2025","passed","Mon Feb 17 23:30:24 AEDT 2025","","","",""
