"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Post an image to one pet","4","0","","0"
"0","","0","Post new pet to the store","1","0","","0"
"0","","0","Get one pet by Id","2","0","","0"
"0","","0","Get all pets by status","1","0","","0"
