"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1023","Verify the image for one pet is registered when a request is made through POST add new image to pet endpoint","","Mon Feb 17 21:57:47 AEDT 2025","passed","Mon Feb 17 21:57:48 AEDT 2025","","","",""
"","955","Verify the data for all pets is received when a request is made through Get pets by status endpoint","","Mon Feb 17 21:57:43 AEDT 2025","passed","Mon Feb 17 21:57:44 AEDT 2025","","","",""
"","769","Verify the image for one pet is registered when a request is made through POST add new image to pet endpoint","","Mon Feb 17 21:57:48 AEDT 2025","passed","Mon Feb 17 21:57:49 AEDT 2025","","","",""
"","771","Verify the data for one pet is received when a request is made through Get pet by ID endpoint","","Mon Feb 17 21:57:44 AEDT 2025","passed","Mon Feb 17 21:57:45 AEDT 2025","","","",""
"","792","Verify the valid error message is pet is not found for the requested ID","","Mon Feb 17 21:57:45 AEDT 2025","passed","Mon Feb 17 21:57:45 AEDT 2025","","","",""
"","772","Verify the image for one pet is registered when a request is made through POST add new image to pet endpoint","","Mon Feb 17 21:57:46 AEDT 2025","passed","Mon Feb 17 21:57:47 AEDT 2025","","","",""
"","841","Verify the data for one pet is registered when a request is made through POST add new pet endpoint","","Mon Feb 17 21:57:49 AEDT 2025","passed","Mon Feb 17 21:57:50 AEDT 2025","","","",""
"","785","Verify the image for one pet is registered when a request is made through POST add new image to pet endpoint","","Mon Feb 17 21:57:45 AEDT 2025","passed","Mon Feb 17 21:57:46 AEDT 2025","","","",""
